DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
UF de residência: Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins
Período:2014-2025
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
" MUNICIPIO IGNORADO - RO";-;-;1;3;2;-;-;1;-;1;-;1;-;9
"110001 ALTA FLORESTA D'OESTE";-;29;96;488;16;4;230;9;4;397;422;251;79;2025
"110002 ARIQUEMES";5;60;23;69;61;11;33;157;55;1109;376;101;37;2097
"110003 CABIXI";-;9;130;56;5;4;94;11;1;25;66;15;19;435
"110004 CACOAL";2;33;46;217;25;21;25;94;206;2070;389;155;99;3382
"110005 CEREJEIRAS";-;12;44;333;254;10;14;158;5;32;142;52;61;1117
"110006 COLORADO DO OESTE";2;31;15;44;15;17;11;70;8;11;50;66;19;359
"110007 CORUMBIARA";-;11;19;23;16;1;7;40;2;-;73;26;72;290
"110008 COSTA MARQUES";1;118;18;47;1;-;2;31;31;35;54;126;17;481
"110009 ESPIGAO D'OESTE";-;18;281;522;118;39;13;125;24;508;199;259;158;2264
"110010 GUAJARA-MIRIM";-;25;14;285;98;48;10;33;75;85;152;18;7;850
"110011 JARU";-;54;22;121;141;1;9;119;38;1330;663;113;124;2735
"110012 JI-PARANA";6;215;35;924;76;31;16;10;81;772;647;178;177;3168
"110013 MACHADINHO D'OESTE";1;82;21;476;127;7;5;41;18;261;71;88;13;1211
"110014 NOVA BRASILANDIA D'OESTE";-;23;3;344;72;4;24;237;38;687;93;143;26;1694
"110015 OURO PRETO DO OESTE";1;48;50;111;56;8;12;11;8;46;50;24;27;452
"110018 PIMENTA BUENO";-;35;75;534;45;5;15;44;51;335;886;88;61;2174
"110020 PORTO VELHO";2;294;193;857;326;107;167;304;207;1960;1108;602;224;6351
"110025 PRESIDENTE MEDICI";-;27;14;110;44;13;26;20;41;229;146;148;55;873
"110026 RIO CRESPO";-;1;4;46;2;3;-;17;3;26;37;62;1;202
"110028 ROLIM DE MOURA";1;69;32;367;88;15;9;162;18;279;659;871;216;2786
"110029 SANTA LUZIA D'OESTE";-;8;7;55;2;3;-;30;11;104;97;43;8;368
"110030 VILHENA";-;47;323;312;19;12;14;1134;103;1304;1672;324;361;5625
"110032 SAO MIGUEL DO GUAPORE";-;1;17;50;4;2;2;94;40;80;12;61;17;380
"110033 NOVA MAMORE";-;4;19;178;8;4;37;230;13;122;182;65;17;879
"110034 ALVORADA D'OESTE";-;25;36;84;8;1;-;2;1;196;195;24;8;580
"110037 ALTO ALEGRE DOS PARECIS";-;15;16;18;13;2;39;83;4;12;145;54;34;435
"110040 ALTO PARAISO";-;24;4;26;25;5;5;15;28;96;35;14;23;300
"110045 BURITIS";-;128;165;239;128;102;87;187;229;330;80;220;34;1929
"110050 NOVO HORIZONTE DO OESTE";-;20;11;68;4;-;1;4;14;5;41;85;7;260
"110060 CACAULANDIA";-;7;14;14;52;-;-;23;6;58;253;68;15;510
